"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Antal tests pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2026-07-07T11:15:03.729"
INFLA;2015/2016;2015-U41;9999;Alle;65-74;K;327766;16;0;0;0;0,00;0,00;4,88;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;65-74;M;309155;20;0;0;0;0,00;0,00;6,47;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;75-84;Alle;318026;21;0;0;0;0,00;0,00;6,60;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;75-84;K;176428;6;0;0;0;0,00;0,00;3,40;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;75-84;M;141598;15;0;0;0;0,00;0,00;10,59;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;85+;Alle;119069;6;0;0;0;0,00;0,00;5,04;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;85+;K;79537;3;0;0;0;0,00;0,00;3,77;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;85+;M;39532;3;0;0;0;0,00;0,00;7,59;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;Alle;Alle;5707365;228;1;0;0;0,00;0,02;3,99;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;Alle;K;2873463;120;1;0;0;0,01;0,03;4,18;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;Alle;M;2833902;105;0;0;0;0,00;0,00;3,71;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;00-01;Alle;40791;19;0;0;0;0,00;0,00;46,58;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;00-01;K;19810;10;0;0;0;0,00;0,00;50,48;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;00-01;M;20981;9;0;0;0;0,00;0,00;42,90;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;02-06;Alle;103149;8;0;0;0;0,00;0,00;7,76;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;02-06;K;50255;3;0;0;0;0,00;0,00;5,97;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;02-06;M;52894;5;0;0;0;0,00;0,00;9,45;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;07-14;Alle;159490;4;0;0;0;0,00;0,00;2,51;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;07-14;K;77504;3;0;0;0;0,00;0,00;3,87;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;07-14;M;81986;1;0;0;0;0,00;0,00;1,22;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;15-44;Alle;744054;22;0;0;0;0,00;0,00;2,96;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;15-44;K;375271;13;0;0;0;0,00;0,00;3,46;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;15-44;M;368783;9;0;0;0;0,00;0,00;2,44;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;45-64;Alle;438765;20;1;0;0;0,05;0,23;4,56;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;45-64;K;220386;15;1;0;0;0,07;0,45;6,81;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;45-64;M;218379;5;0;0;0;0,00;0,00;2,29;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;65-74;Alle;176506;12;0;0;0;0,00;0,00;6,80;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;65-74;K;93491;2;0;0;0;0,00;0,00;2,14;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;65-74;M;83015;10;0;0;0;0,00;0,00;12,05;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;75-84;Alle;87302;8;0;0;0;0,00;0,00;9,16;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;75-84;K;50261;2;0;0;0;0,00;0,00;3,98;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;75-84;M;37041;6;0;0;0;0,00;0,00;16,20;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;85+;Alle;34504;2;0;0;0;0,00;0,00;5,80;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;85+;K;23941;2;0;0;0;0,00;0,00;8,35;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;85+;M;10563;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;Alle;Alle;1784561;95;1;0;0;0,01;0,06;5,32;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;Alle;K;910919;50;1;0;0;0,02;0,11;5,49;0,00;
INFLA;2015/2016;2015-U41;1084;Hovedstaden;Alle;M;873642;45;0;0;0;0,00;0,00;5,15;0,00;
INFLA;2015/2016;2015-U41;1082;Midtjylland;00-01;Alle;26462;3;0;0;0;0,00;0,00;11,34;0,00;
