"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-06-24T11:25:02.299"
RSV;2015/2016;2015-U40;1083;Syddanmark;01. 0-5 måneder;K;3091;2;1;1;0;0,50;32,35;64,70;32,35;
RSV;2015/2016;2015-U40;1083;Syddanmark;01. 0-5 måneder;M;3253;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;02. 6-11 måneder;Alle;6074;2;0;0;0;0,00;0,00;32,93;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;02. 6-11 måneder;K;2964;1;0;0;0;0,00;0,00;33,74;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;02. 6-11 måneder;M;3110;1;0;0;0;0,00;0,00;32,15;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;03. 1 år;Alle;12319;1;0;0;0;0,00;0,00;8,12;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;03. 1 år;K;5967;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;03. 1 år;M;6352;1;0;0;0;0,00;0,00;15,74;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;04. 2 år;Alle;12700;1;0;0;0;0,00;0,00;7,87;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;04. 2 år;K;6124;1;0;0;0;0,00;0,00;16,33;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;04. 2 år;M;6576;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;05. 3-5 år;Alle;40764;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;05. 3-5 år;K;19862;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;05. 3-5 år;M;20902;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;06. 6-14 år;Alle;134055;2;0;0;0;0,00;0,00;1,49;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;06. 6-14 år;K;65533;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;06. 6-14 år;M;68522;2;0;0;0;0,00;0,00;2,92;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;07. 15-44 år;Alle;436319;3;0;0;0;0,00;0,00;0,69;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;07. 15-44 år;K;213691;1;0;0;0;0,00;0,00;0,47;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;07. 15-44 år;M;222628;2;0;0;0;0,00;0,00;0,90;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;08. 45-64 år;Alle;322923;4;0;0;0;0,00;0,00;1,24;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;08. 45-64 år;K;161964;1;0;0;0;0,00;0,00;0,62;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;08. 45-64 år;M;160959;3;0;0;0;0,00;0,00;1,86;0,00;
