"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-07-08T11:25:03.061"
RSV;1082;Midtjylland;Alle;K;688596;31;0;0;0;0,00;0,00;4,50;0,00;
RSV;1082;Midtjylland;Alle;M;684918;38;0;0;0;0,00;0,00;5,55;0,00;
RSV;1081;Nordjylland;01. 0-5 måneder;Alle;2604;2;0;0;0;0,00;0,00;76,80;0,00;
RSV;1081;Nordjylland;01. 0-5 måneder;K;1267;1;0;0;0;0,00;0,00;78,93;0,00;
RSV;1081;Nordjylland;01. 0-5 måneder;M;1337;1;0;0;0;0,00;0,00;74,79;0,00;
RSV;1081;Nordjylland;02. 6-11 måneder;Alle;2604;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1081;Nordjylland;02. 6-11 måneder;K;1212;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1081;Nordjylland;02. 6-11 måneder;M;1392;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1081;Nordjylland;03. 1 år;Alle;5282;2;0;0;0;0,00;0,00;37,86;0,00;
RSV;1081;Nordjylland;03. 1 år;K;2562;1;0;0;0;0,00;0,00;39,03;0,00;
RSV;1081;Nordjylland;03. 1 år;M;2720;1;0;0;0;0,00;0,00;36,76;0,00;
RSV;1081;Nordjylland;04. 2 år;Alle;5510;2;0;0;0;0,00;0,00;36,30;0,00;
RSV;1081;Nordjylland;04. 2 år;K;2632;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1081;Nordjylland;04. 2 år;M;2878;2;0;0;0;0,00;0,00;69,49;0,00;
RSV;1081;Nordjylland;05. 3-5 år;Alle;17977;3;0;0;0;0,00;0,00;16,69;0,00;
RSV;1081;Nordjylland;05. 3-5 år;K;8743;2;0;0;0;0,00;0,00;22,88;0,00;
RSV;1081;Nordjylland;05. 3-5 år;M;9234;1;0;0;0;0,00;0,00;10,83;0,00;
