"Dato";"Sidste opdatering";"Sygdom";"Sæson";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal førstegangstestede personer";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Incidens";"Testrate";"Indlæggelsesrate";"timestamp_2026-02-24T12:52:02.349"
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;05. 3-5 år;M;92155;708;771;77;19;0;0,11;83,55;768,27;20,62;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;06. 6-14 år;Alle;600845;1671;1867;78;14;0;0,05;12,98;278,11;2,33;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;06. 6-14 år;K;293007;806;826;45;7;0;0,06;15,36;275,08;2,39;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;06. 6-14 år;M;307838;865;915;33;7;0;0,04;10,72;280,99;2,27;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;07. 15-44 år;Alle;2215977;8163;9022;222;39;0;0,03;10,02;368,37;1,76;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;07. 15-44 år;K;1095372;4986;4667;138;23;0;0,03;12,60;455,19;2,10;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;07. 15-44 år;M;1120605;3177;3024;84;16;0;0,03;7,50;283,51;1,43;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;08. 45-64 år;Alle;1513614;7697;8877;313;119;8;0,04;20,68;508,52;7,86;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;08. 45-64 år;K;760105;4162;4500;177;62;4;0,04;23,29;547,56;8,16;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;08. 45-64 år;M;753509;3535;3987;136;57;4;0,04;18,05;469,14;7,56;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;09. 65-74 år;Alle;609579;5022;5993;242;146;12;0,05;39,70;823,85;23,95;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;09. 65-74 år;K;318167;2386;2687;116;62;6;0,05;36,46;749,92;19,49;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;09. 65-74 år;M;291412;2636;3188;126;84;6;0,05;43,24;904,56;28,83;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;10. 75-84 år;Alle;315273;4182;4994;220;156;20;0,05;69,78;1326,47;49,48;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;10. 75-84 år;K;176608;2106;2427;127;87;10;0,06;71,91;1192,47;49,26;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;10. 75-84 år;M;138665;2076;2489;93;69;10;0,04;67,07;1497,13;49,76;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;11. 85+ år;Alle;69053;1981;2227;109;90;16;0,06;157,85;2868,81;130,33;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;11. 85+ år;K;46635;1125;1242;74;59;8;0,07;158,68;2412,35;126,51;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;11. 85+ år;M;22418;856;959;35;31;8;0,04;156,12;3818,36;138,28;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;Alle;Alle;5692474;37997;43920;4251;2116;56;0,11;74,68;667,50;37,17;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;Alle;K;2868912;19734;20806;2049;990;28;0,10;71,42;687,86;34,51;
2026-02-24;2026-02-17;RSV;2018/2019;9999;Alle;Alle;M;2823562;18263;20063;2202;1126;28;0,12;77,99;646,81;39,88;
